country,city,lat,lon,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,total_city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
israel,misgav,32.858756,35.259817,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
colombia,pereira,4.8087174,-75.690601,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,476636,3,NA,NA,NA,NA,NA,NA,1,NA,1,1
united states,millbrae,37.5985468,-122.3871942,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,22718,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
india,hubli,15.3647083,75.1239547,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,890000,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,jackson,32.2987573,-90.1848103,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,169148,9,NA,NA,1,1,NA,1,2,1,2,1
india,kannur,11.8744775,75.3703662,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
dominican republic,punta cana,18.5600761,-68.372535,Americas,Caribbean,Developing economies,16452,1.73E+11,0.745,-0.363374,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,kentfield,37.9521465,-122.5571997,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6927,4,NA,NA,NA,NA,NA,NA,NA,1,1,2
south korea,uiwang-si,37.344701,126.9683104,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
brazil,juazeiro do norte,-7.2290551,-39.3123192,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,268248,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
colombia,neiva,2.9344837,-75.2809001,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,347438,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
turkey,adana,36.9914194,35.3308285,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,1293000,4,NA,NA,NA,NA,NA,1,1,NA,1,1
indonesia,south jakarta,-6.2614927,106.8105998,Asia,South-eastern Asia,Developing economies,12279,3.25E+12,0.707,-0.305644,"NA",2,NA,NA,NA,1,NA,NA,NA,NA,1,NA
india,vadodara,22.3071588,73.1812187,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1756000,9,1,NA,NA,NA,NA,NA,1,NA,2,5
india,dehradun,30.3164945,78.0321918,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,714223,5,NA,NA,NA,NA,NA,NA,NA,1,2,2
thailand,pathum thani,14.0208391,100.5250276,Asia,South-eastern Asia,Developing economies,17917,1.24E+12,0.765,0.711704,154412,4,NA,NA,NA,NA,NA,NA,NA,1,2,1
united states,henrico county,37.5059332,-77.3324425,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",3,NA,NA,NA,NA,NA,1,1,NA,1,NA
united states,chester county,39.8231643,-75.869665,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,34077,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,surat,21.1702401,72.8310607,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,3842000,9,NA,NA,1,1,NA,NA,2,1,1,3
united states,fountain hills,33.6042079,-111.7256936,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,24583,7,NA,NA,NA,NA,NA,NA,1,1,5,NA
brazil,balneaio camboriao,-27.0015966,-48.6379041,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,131727,8,NA,NA,NA,NA,NA,NA,NA,NA,7,1
sri lanka,colombo,6.9270786,79.861243,Asia,Southern Asia,Developing economies,12879,2.76E+11,0.78,-0.901589,647100,9,1,NA,1,1,1,1,2,1,1,NA
turkey,mudanya,40.3180088,28.7897558,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,san marcos,33.1433723,-117.1661449,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,96198,5,NA,NA,1,NA,NA,NA,NA,1,3,NA
united states,bedford,42.4906231,-71.2760089,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,49486,4,NA,NA,NA,NA,NA,NA,1,1,1,1
united states,walnut creek,37.9100783,-122.0651819,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,69773,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
south korea,seogwipo-si,33.2541205,126.560076,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
iraq,duhok,36.8632107,42.9884805,Asia,Western Asia,Developing economies,17415,6.54E+11,0.689,"NA",328113,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,greer,34.9387279,-82.2270568,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,30899,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,lafayette,30.2240897,-92.0198427,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,127626,4,NA,NA,NA,NA,NA,1,1,1,1,NA
united states,havertown,39.9763656,-75.3149796,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",4,NA,NA,NA,NA,NA,NA,NA,1,3,NA
united states,san marino,34.121397,-118.1064585,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,13327,4,NA,NA,NA,NA,NA,NA,NA,1,2,1
united states,groton,41.3497456,-72.0790717,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11282,13,4,1,NA,NA,NA,NA,NA,1,7,NA
united states,south lake tahoe,38.939926,-119.9771868,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,29890,5,NA,NA,NA,NA,NA,NA,1,2,2,NA
united states,ypsilanti,42.2411499,-83.6129939,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,21076,6,NA,NA,NA,1,1,1,NA,1,1,1
india,palhoca,21.1938475,81.3509416,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1097000,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
united states,sedona,34.8697395,-111.7609896,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6967,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1
united states,hackensack,40.8859325,-74.0434736,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,45248,3,NA,NA,NA,1,NA,1,NA,NA,1,NA
india,narsapur,16.4329833,81.6966198,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,1,NA,NA,1,NA
trinidad and tobago,port of spain,10.6636899,-61.5267426,Americas,Caribbean,Developing economies,31429,43499718859,0.799,-0.0506048,37074,6,NA,NA,NA,2,NA,1,NA,NA,3,NA
venezuela,naguanagua,10.2683199,-68.0179418,Americas,South America,Developing economies,18102,5.44E+11,0.726,-0.655229,161658,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
india,dhanbad,23.7956531,86.4303859,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1246000,3,NA,NA,NA,NA,NA,1,1,NA,1,NA
united states,fayetteville,35.0526641,-78.8783585,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,204759,4,NA,NA,NA,NA,1,1,NA,NA,1,1
united states,narragansett,41.4500844,-71.449503,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,15601,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
india,kanpur,26.449923,80.3318736,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,3162000,8,NA,1,2,1,NA,NA,1,1,2,NA
united states,sherman,33.6356618,-96.6088805,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,67354,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
chile,valdivia province,-39.8195857,-73.2452103,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,143207,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
canada,quebec city,46.8138783,-71.2079809,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,"NA",5,NA,NA,NA,NA,3,NA,1,NA,1,NA
canada,west kelowna,49.863612,-119.5644584,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,south pasadena,34.1161196,-118.1503488,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,25888,4,NA,NA,NA,NA,NA,NA,1,NA,2,1
argentina,vicente lapez,-34.5281205,-58.473816,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",7,NA,NA,NA,NA,NA,1,1,1,2,2
brazil,cascavel,-24.9577771,-53.4595112,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,316226,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2
united states,harrison,40.9700171,-73.7176337,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,28587,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
united states,pleasant view,36.3942164,-87.0366685,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,10287,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
honduras,la ceiba,15.770288,-86.7919009,Americas,Central America,Developing economies,4917,46359852557,0.623,-0.744556,197267,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
indonesia,medan,3.5951956,98.6722227,Asia,South-eastern Asia,Developing economies,12279,3.25E+12,0.707,-0.305644,2269588,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
united states,warren,42.5144566,-83.0146526,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,135125,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,dearborn,42.3222599,-83.1763145,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,94491,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA
india,phagwara,31.2231589,75.7670466,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,chandigarh,30.7122069,76.7884713,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,979000,3,NA,NA,NA,NA,NA,NA,1,1,1,NA
united states,northfield,44.4582983,-93.161604,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,22037,4,NA,NA,NA,NA,1,NA,NA,1,2,NA
india,jamnagar,22.4707019,70.05773,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,basalt,39.3688731,-107.0328241,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,9222,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,monterey,36.6002378,-121.8946761,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,28639,17,NA,1,2,1,4,2,2,2,2,1
mexico,boca del rio,19.106273,-96.1063204,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,"NA",4,NA,NA,NA,NA,NA,2,NA,NA,2,NA
united states,wyncote,40.0945549,-75.1487863,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,kodaikanal,10.2312043,77.489892,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,dharamshala,32.219042,76.3234037,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",5,NA,NA,NA,2,1,NA,1,NA,1,NA
united states,chester springs,40.0784461,-75.6342521,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",6,NA,NA,NA,1,1,1,1,NA,1,1
united states,wilmington manor,39.6867795,-75.5843694,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,7608,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,gandhinagar,23.2156354,72.6369415,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,195891,7,NA,NA,NA,NA,NA,1,1,1,2,2
india,mangalore,12.9141417,74.8559568,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,776632,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
united states,stevensville,46.5099225,-114.0931588,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6694,4,NA,NA,NA,NA,NA,NA,NA,1,3,NA
colombia,galati,3.4516467,-76.5319854,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,2445405,13,NA,NA,NA,1,NA,1,1,1,5,4
united states,watertown,43.9747838,-75.9107565,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,54980,5,NA,NA,NA,NA,NA,NA,1,2,2,NA
brazil,criciama,-28.6726329,-49.3733541,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,209153,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
argentina,virrey del pino,-34.8495826,-58.6570859,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
canada,brantford,43.1393867,-80.2644254,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,104231,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2
argentina,posadas,-27.3621374,-55.9008746,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,357119,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,kenosha,42.5847425,-87.8211854,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,124888,7,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
united states,schenectady,42.8142432,-73.9395687,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,65625,5,NA,NA,NA,NA,NA,NA,1,1,1,2
united states,munster,41.5644798,-87.5125412,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,22717,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
united states,orient,41.1389875,-72.303415,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
hong kong,new territories,22.424903,114.211962,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",3932700,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA
india,gautam buddh nagar,28.338333,77.6077865,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
united states,glen allen,37.665978,-77.5063739,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,16339,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,guntur,16.3066525,80.4365402,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,530577,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2
india,sahibzada ajit singh nagar,30.7046486,76.7178726,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",3,NA,NA,NA,NA,NA,NA,NA,1,2,NA
india,changa,22.5902575,72.8005865,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,faridabad,28.4089123,77.3177894,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1394000,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA
india,paonta sahib,30.445283,77.6020569,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
mexico,madero,19.4312569,-99.1859291,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
argentina,villa martelli,-34.5510812,-58.5084053,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,sebastopol,38.4021359,-122.8238806,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,7666,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
armenia,sevan,40.5484721,44.9618132,Asia,Western Asia,Transition economies,9621,28331472880,0.76,"NA","NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,jalandhar,31.3260152,75.5761829,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,855000,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA
india,ponda,15.4027005,74.0077849,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",4,NA,NA,NA,NA,NA,NA,NA,1,3,NA
laos,vientiane,17.9757058,102.6331035,Asia,South-eastern Asia,Developing economies,6940,48250969277,0.604,-1.25108,754000,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
brazil,cachoeira,-12.6009889,-38.9659394,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,gwalior,26.2182871,78.1828308,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,978000,5,NA,NA,NA,NA,NA,NA,NA,NA,2,3
united states,leesburg,39.1156615,-77.5636015,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,148161,4,NA,NA,NA,NA,NA,1,NA,NA,2,1
saudi arabia,saihat,26.4889127,50.0282017,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,"NA",8,NA,NA,NA,NA,NA,NA,NA,NA,2,6
united states,pembroke,34.6801626,-79.1950373,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,18230,9,NA,NA,NA,NA,NA,NA,NA,NA,7,2
japan,anjo,34.9586216,137.0803649,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,184140,15,NA,NA,NA,NA,NA,NA,1,4,7,3
colombia,barranquilla,11.0041072,-74.8069813,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,1232462,8,NA,NA,NA,NA,1,1,1,2,1,2
united states,bellevue,47.6101497,-122.2015159,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,141400,12,NA,NA,NA,1,3,3,1,2,2,NA
united states,ashburn,39.0437567,-77.4874416,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,49895,8,NA,NA,NA,1,1,1,NA,1,3,1
united states,corona,33.8752935,-117.5664384,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,166785,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,memphis,35.1495343,-90.0489801,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,652717,8,NA,NA,1,1,NA,NA,2,1,1,2
united states,little rock,34.7464809,-92.2895948,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,198541,3,NA,NA,NA,NA,NA,NA,1,1,NA,1
united states,pentwater,43.7816728,-86.4331355,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
united states,clarksburg,39.2806451,-80.3445341,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,41453,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,astor,29.1624801,-81.5253491,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
turkey,mersin,36.8121041,34.6414811,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,natick,42.2775281,-71.3468091,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,35957,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
india,belen heredia,28.3802101,75.6091696,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",8,NA,2,NA,NA,1,NA,2,1,1,1
indonesia,tangerang,-6.2989275,106.6362789,Asia,South-eastern Asia,Developing economies,12279,3.25E+12,0.707,-0.305644,3050758,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
saudi arabia,macapa,21.3890824,39.8579118,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,1534731,3,NA,NA,NA,1,NA,NA,1,NA,NA,1
philippines,dumaguete,9.3068402,123.3054467,Asia,South-eastern Asia,Developing economies,8340,8.77E+11,0.712,0.381087,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
costa rica,alajuela,10.0159394,-84.2141701,Americas,Central America,Developing economies,16976,84031346801,0.794,0.237988,306206,7,NA,NA,NA,NA,NA,NA,NA,1,3,3
united states,canton,40.7989473,-81.378447,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,271184,4,NA,NA,NA,NA,NA,NA,NA,1,NA,3
united states,alpharetta,34.0753762,-84.2940899,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,65799,7,NA,NA,NA,1,1,1,1,1,NA,2
united states,milton,42.2495321,-71.0661653,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,38924,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,malvern,40.0362184,-75.5138118,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11751,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
united states,smithfield,36.9823709,-76.6310662,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,30482,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
india,pimpri-chinchwad,18.627597,73.74549,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
taiwan,chiayi county,23.4518428,120.2554615,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",50000,4,NA,NA,NA,NA,NA,NA,NA,1,1,2
iran,mashhad,36.2604623,59.6167549,Asia,Southern Asia,Developing economies,21011,1.70E+12,0.797,-0.158038,3001184,4,NA,NA,NA,NA,NA,1,NA,2,NA,1
united states,stevens point,44.5235792,-89.574563,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,43520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
azerbaijan,khirdalan,40.4529251,49.7333235,Asia,Western Asia,Transition economies,17525,1.73E+11,0.754,-0.654587,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,neemrana,27.9796711,76.3961899,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
israel,akko,32.8782643,35.2697802,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
oman,seeb,23.6473237,58.1458246,Asia,Western Asia,Developing economies,41068,1.92E+11,0.834,-0.0609077,406771,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,haughton,32.5326514,-93.5040627,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,odesa,31.8456816,-102.3676431,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,117871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,chesterfield,38.6631083,-90.5770675,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,47588,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,raigad,18.2376278,73.4445392,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",6,NA,NA,NA,NA,NA,1,NA,1,2,2
united states,miami,25.7355248,-80.2377186,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,453579,3,NA,NA,NA,NA,NA,NA,1,NA,1,1
mexico,lerma municipality,19.2913424,-99.5244687,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,atlanta,33.7971368,-84.32224,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,472522,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
united states,garden city,37.9716898,-100.8726618,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,30206,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
china,changde,29.031654,111.698784,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,1469000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,sarigam,20.2860115,72.8574558,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,idaho falls,43.4926607,-112.0407584,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,97548,6,NA,NA,NA,NA,NA,1,1,1,2,1
turkey,paris,40.1885281,29.0609636,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,1492000,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
costa rica,san jose,9.9426465,-84.1241732,Americas,Central America,Developing economies,16976,84031346801,0.794,0.237988,342188,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,kattangal,11.3182165,75.9376146,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",3,NA,NA,NA,NA,NA,NA,NA,NA,2,1
united states,crawfordsville,40.0411536,-86.8744516,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,18305,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
philippines,taguig,14.5176184,121.0508645,Asia,South-eastern Asia,Developing economies,8340,8.77E+11,0.712,0.381087,804915,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
india,bhautipratappur,26.4452268,80.2070328,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
lebanon,qalhat,34.3594388,35.7813609,Asia,Western Asia,Developing economies,12814,87286452031,0.73,0.0803256,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,frisco,33.1506744,-96.8236116,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,163656,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,los gatos,37.2358078,-121.9623751,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,30724,5,NA,NA,1,NA,NA,NA,1,1,1,1
united states,gilbert,33.3528264,-111.789027,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,237133,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1
united states,san mateo,37.5629917,-122.3255254,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,103959,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1
malaysia,terengganu,5.3678639,103.0472164,Asia,South-eastern Asia,Developing economies,30004,9.33E+11,0.804,0.971372,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,kangra,32.0998031,76.2691006,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
